created_at,word,language,user_id,translation,status
2024-06-13 07:31:40.795998+00,🆔,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,indicate,learning
2024-06-13 07:28:25.339399+00,👑,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,credibility,learning
2024-06-18 05:45:01.78034+00,📚,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,creation,learning
2024-06-18 05:47:46.862585+00,📟,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,terminology,learning
2024-06-13 07:34:14.407567+00,🦑,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,jargon,learning
2024-06-13 07:34:58.034972+00,🏋️‍♂️,Spanish,a88f454d-bb68-4010-9f05-10aed90ed792,exercise,learning
2025-01-26 17:43:41.472925+00,#월,Korean,b52706af-f86f-4472-a3e9-b2e4e5f0e6d6,#month,learning
2024-11-28 05:33:09.91512+00,100MB,Tiktok Slang,85db5d88-12d5-49f7-8793-a0d2f62ac738,100 megabytes,learning
2024-09-30 22:34:27.778859+00,170달러,Korean,ff8b22f3-fa07-41cf-9d68-79caf67442d9,170 dollars,learning
2025-03-12 02:23:38.590748+00,28,Portuguese,f4095df7-febf-489b-be22-3cf02d090547,28,learning
2025-01-30 18:58:41.435861+00,6월,Korean,4c17cf78-13c4-413e-89af-a2185c750396,June,learning
2024-12-24 01:11:24.681096+00,API,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,API,learning
2024-12-07 13:37:31.618652+00,APILADO,Spanish,235da559-229a-4c19-978d-2fc670ca3ffa,STACKED,learning
2024-09-30 22:25:19.52927+00,ASI,Korean,ff8b22f3-fa07-41cf-9d68-79caf67442d9,ASI,learning
2024-10-31 13:15:36.010477+00,Abrir,Spanish,27729e07-dba6-445b-a4d6-790c5fca0546,Open,learning
2024-09-01 22:30:29.105792+00,Accessible,GRE Vocabulary,4d45dd5a-c3db-4485-80d2-27738653aa95,Available,learning
2024-08-23 19:24:33.732455+00,Acuéstate,Spanish,dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,Lie down,learning
2024-09-05 05:55:21.148705+00,Aimer,French,ff8b22f3-fa07-41cf-9d68-79caf67442d9,To like,learning
2024-11-05 08:04:57.932252+00,Alemán,Spanish,ff8b22f3-fa07-41cf-9d68-79caf67442d9,German,learning
2024-12-23 21:10:35.415303+00,Anfrage,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,request,learning
2025-01-27 19:17:18.853024+00,Antiquated,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Old,learning
2025-01-20 11:48:13.3457+00,App,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,app,learning
2024-12-23 21:06:06.985202+00,App,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,app,learning
2024-08-21 12:06:27.532681+00,Apple,Spanish,c2dfa0a8-6b1e-4c0a-a621-3c43461fca51,Apple,learning
2025-01-29 06:02:54.275948+00,Asistir,Spanish,630ecd5b-ef55-443c-ae04-6b34b0212e88,Attend,learning
2024-11-20 01:20:04.864405+00,BURGERS,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,talent,learning
2025-01-30 19:56:57.992637+00,Bear,GRE Vocabulary,e3256652-546e-44a4-9966-5e9732699183,Keep,learning
2024-12-29 21:25:23.394282+00,Bedingung,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,condition,learning
2024-12-29 19:46:56.464766+00,Beta-Version,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,Beta version,learning
2024-10-09 00:46:28.354657+00,Bezeichnung,German,e42db482-b3fb-4d49-82ac-448f63744dd5,designation,learning
2024-12-25 21:51:50.642373+00,Binärdateien,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,binaries,learning
2024-12-30 22:21:28.173907+00,BlendModes,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,BlendModes,learning
2024-07-23 01:52:25.880593+00,Bonjour,French,c2077ddf-5633-4149-aef9-1fb60a51a9a1,Hello,learning
2024-12-26 12:29:30.049905+00,Bretter,German,48cda1d8-f77a-435a-b110-f39b2c543ca4,boards,learning
2025-02-21 12:37:37.64458+00,CANGREJO,Spanish,332370f9-32c4-4440-9cc0-1b45ffac71a8,CRAB,learning
2024-12-06 08:16:29.005364+00,Catalina,Spanish,85db5d88-12d5-49f7-8793-a0d2f62ac738,Catalina,learning
2025-01-21 04:52:37.856512+00,Circumventing,SAT Vocabulary,630ecd5b-ef55-443c-ae04-6b34b0212e88,Cheating,learning
2024-11-27 02:36:36.484246+00,Comment,GlizzyTalk,733578cf-dce4-4101-b3c7-82d697019353,Gobbler,learning
2025-01-20 11:45:45.074773+00,Community,German,3321eded-48c7-4be3-a4bc-7acd84ceecb1,community,learning
