user_id,language,level
0393d171-9af2-4d27-97fd-6fbc05554e12,Spanish,2
05219ff6-57da-45ad-843d-4ad783add56b,SAT Vocabulary,1
09bcd69d-6e85-46b6-abc3-649647086df8,Croatian,6
0ebdecf7-9b3a-4df8-b8b2-273148f5074a,Mandarin Chinese,9
0ebdecf7-9b3a-4df8-b8b2-273148f5074a,Tiktok Slang,10
15f2af6d-5e3e-4b02-b61b-5e69d988fa8d,Italian,1
235da559-229a-4c19-978d-2fc670ca3ffa,Spanish,4
239219e9-d6f7-48cf-831c-62955af5053d,Korean,1
27729e07-dba6-445b-a4d6-790c5fca0546,Spanish,1
287cbb34-e04f-45ca-8319-fc2cb3a6eddd,Mandarin Chinese,1
28c8d175-7fb0-4514-9365-75256aa62bc4,French,1
32ec67e0-cb78-4c25-8451-5fc0334f70f1,Korean,1
3321eded-48c7-4be3-a4bc-7acd84ceecb1,French,8
3321eded-48c7-4be3-a4bc-7acd84ceecb1,German,10
3321eded-48c7-4be3-a4bc-7acd84ceecb1,Korean,3
332370f9-32c4-4440-9cc0-1b45ffac71a8,Spanish,3
333b3d55-4005-489e-be23-e30fae4241c9,Spanish,1
35451fbe-281e-4ef7-9209-e70f1c3c5a03,Italian,1
35c50fc4-ac52-422c-9823-282758696d3f,Spanish,1
37a42e29-e69b-43e8-b6eb-471124f7afea,Spanish,6
38e60ef6-9a5a-4f85-8a26-cac385663f74,Korean,3
39344461-7e13-4d7f-a025-5dbe38eafbb3,Tiktok Slang,3
3af47d47-e5e5-45a6-9e44-9259daafd045,Tamil,1
3d670125-dd8d-45db-bba9-c09554598f16,Mandarin Chinese,3
48cda1d8-f77a-435a-b110-f39b2c543ca4,German,3
49453d9f-7f2e-47f8-9edd-5ad0e66d987b,Spanish,2
4a5a1ac2-dee6-45c2-ac69-a6160e41a090,Tamil,2
4c17cf78-13c4-413e-89af-a2185c750396,Spanish,1
4d45dd5a-c3db-4485-80d2-27738653aa95,GRE Vocabulary,1
534a6358-94ad-49d6-ba12-887a1c5d3e55,SAT Vocabulary,6
54ec86eb-8990-425e-a821-ad78ae2dba44,Tiktok Slang,2
5a8b8dfa-5cc0-465c-a606-0b97a1efd403,German,1
5b114043-60f3-42c4-b2e8-74d13468aeaa,Mandarin Chinese,6
5b9cd4cd-5c82-4fbe-9f3f-ae1e85ffe0f1,Mandarin Chinese,6
63045eff-2d97-4b9d-a537-24b2515a17a6,Mandarin Chinese,3
630ecd5b-ef55-443c-ae04-6b34b0212e88,GRE Vocabulary,10
630ecd5b-ef55-443c-ae04-6b34b0212e88,Mandarin Chinese,8
630ecd5b-ef55-443c-ae04-6b34b0212e88,SAT Vocabulary,10
630ecd5b-ef55-443c-ae04-6b34b0212e88,Spanish,8
6455049a-c471-4b59-b2f3-f3eaa29b809e,German,1
6ea579ff-b347-499d-9157-b79441db73e9,Japanese,1
732a92bd-8dec-43d9-83b8-50138871fe4f,German,3
732a92bd-8dec-43d9-83b8-50138871fe4f,Tamil,3
733578cf-dce4-4101-b3c7-82d697019353,Arabic,6
733578cf-dce4-4101-b3c7-82d697019353,Croatian,9
733578cf-dce4-4101-b3c7-82d697019353,GlizzyTalk,10
733578cf-dce4-4101-b3c7-82d697019353,Portuguese,10
733578cf-dce4-4101-b3c7-82d697019353,Spanish,10
733578cf-dce4-4101-b3c7-82d697019353,Tamil,10
733578cf-dce4-4101-b3c7-82d697019353,Tiktok Slang,4
7a3fb8c8-efc2-4597-aa8f-ab21c528b514,Korean,3
80c10aa0-0638-4683-8b0e-81743e2e512a,Tamil,2
819cbf66-fd47-4000-9e89-80c1736d1002,Mandarin Chinese,3
819cbf66-fd47-4000-9e89-80c1736d1002,Tiktok Slang,10
85bf9e83-7471-4d20-8241-81c9c7287ca2,German,1
85db5d88-12d5-49f7-8793-a0d2f62ac738,Arabic,6
85db5d88-12d5-49f7-8793-a0d2f62ac738,GlizzyTalk,7
85db5d88-12d5-49f7-8793-a0d2f62ac738,Russian,5
85db5d88-12d5-49f7-8793-a0d2f62ac738,Spanish,6
87916478-5b72-451a-8dc1-a26675edc202,Tiktok Slang,2
87f029ea-b8d4-4501-98de-b1c119388709,Korean,1
8963c7ff-4e29-4cd5-99ef-954d3dcfc772,Tiktok Slang,1
89e38037-1daa-46fe-bdbc-a9b50f68dd5f,French,2
8f4401f3-ff37-4bc2-b300-f6e55d230f69,Spanish,1
8f5668ce-f5b2-409a-9a80-b9cf0c17d306,Spanish,3
907aa469-b058-4c5e-9cee-ed9dbcccc30b,Spanish,2
94d91aaa-e69a-44c9-863d-16607480b153,Korean,1
958f292b-431d-429c-8127-4e790da96f5e,Spanish,1
97ee4d37-9d30-480e-963b-3c6f948018ad,French,1
9d03b335-702b-4a46-8d51-75aff611f7c0,Mandarin Chinese,1
9d697590-7799-4658-820b-85812b1962d6,Russian,3
9daa95e6-bb48-4eff-9f0b-ae0f3623d3e4,Spanish,1
a1fb5342-9fef-4fb7-9b1e-d77f0a79baa4,French,2
a57d1f7e-9f1f-4f52-8e46-ff43760cc10a,Portuguese,1
a5e848d3-8ada-4b2f-b0dc-ebb10b8823a3,Italian,4
a801a028-f8ca-4b66-8e78-73a478180bfe,Spanish,3
a88f454d-bb68-4010-9f05-10aed90ed792,Bengali,4
a88f454d-bb68-4010-9f05-10aed90ed792,Spanish,3
a88f454d-bb68-4010-9f05-10aed90ed792,Urdu,8
aa91db2c-f855-4999-8869-4d89e04df77b,German,1
b0370423-4267-44c0-90ab-e026c5086c2e,Spanish,1
b1e30457-e3a3-4903-8253-8a01e93d4cce,Spanish,1
b22d66d2-44b6-405e-ac1f-d33ff2f1ceed,Spanish,1
b518f030-bd98-4eb1-84e8-9a2dec501bf1,Mandarin Chinese,1
b52706af-f86f-4472-a3e9-b2e4e5f0e6d6,Korean,3
bb89256b-18a6-4166-bbef-a32db573f14b,GRE Vocabulary,2
bc32cf7f-c20f-47a9-b45e-1f60d6e71a9c,Spanish,3
c1846c5c-aef1-44dc-919f-3cb36e24e88a,Portuguese,1
c2077ddf-5633-4149-aef9-1fb60a51a9a1,French,1
c2dfa0a8-6b1e-4c0a-a621-3c43461fca51,Japanese,3
c5cdaeab-499b-4709-ab22-7a19126f94de,Spanish,7
cb59a4c8-8f81-488e-8cb6-5d0f04d59e7e,Spanish,6
cc0e3d6f-3b20-40c2-a3fe-2dc59cf58c50,Mandarin Chinese,3
cce3cdfa-906e-4563-a302-e7a11731d0e2,Tamil,2
cd7531b5-929e-4a66-9f3f-0f85caa0b929,Spanish,2
cd9378b2-66c7-4d80-a08e-40ea7ab37a92,Italian,6
cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,Russian,1
cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,Tiktok Slang,3
daadadf1-b842-4a09-9352-5cf4c459c54e,Tamil,10
db75c9b3-c50e-40d5-b706-5bd3bcee2527,Korean,3
